ID;QNC;PRICE;PRIME;UNEMP
1;1923;60.2;8.98;8.7
2;2165;62.9;7.32;8.6
3;2198;62.8;7.56;8.3
4;2328;63.9;7.58;8.3
5;2381;65.4;6.83;7.5
6;2788;66.2;6.9;7.5
7;2416;66.6;7.09;7.8
8;2513;68.6;6.54;7.9
9;2617;68.8;6.25;7.3
10;3195;69.3;6.47;7.1
11;2668;70.2;6.9;6.9
12;2688;72;7.67;6.3
13;2540;74.2;7.98;6.2
14;3337;74.6;8.3;5.8
15;2713;75.6;9.14;5.9
16;2710;77.2;10.81;5.9
17;2739;78.9;11.75;5.7
18;2942;81.1;11.72;5.7
19;2571;82.3;12.12;5.8
20;2396;83.1;15.08;5.9
21;2511;85.1;16.4;6.3
22;2139;87.3;16.32;7.3
23;2130;88.4;11.61;7.6
24;2189;90.2;16.73;7.5
25;2373;90.8;19.21;7.4
26;2207;91.8;18.93;7.4
27;2192;95;20.32;7.4
28;1754;95.5;17.01;8.1
29;1944;96.8;16.27;8.7
30;2094;96.7;16.5;9.3
31;1910;98;14.72;9.8
32;2032;97.9;11.96;10.5
33;2045;98.5;10.67;10.2
34;2505;99.2;10.5;10
35;2237;99.8;10.67;9.2
36;2394;100.9;11;8.4
37;2584;101.6;11;7.8
38;2895;102.3;12;7.4
39;2448;102.9;12.92;7.3
40;2463;103.5;11.33;7.2
41;2644;104.5;10.5;7.2
42;2988;105.5;10;7.2
43;2968;106.1;9.5;7.1
44;2442;106.9;9.5;7
45;2600;107.8;9.33;6.9
46;3046;108.9;8.5;7.1
47;3124;111.2;7.67;6.9
48;2689;112.3;7.5;6.8
49;2341;114.1;7.5;6.5
50;2767;113.5;7.83;6.2
51;2785;115.1;8.25;5.9
52;2382;115.6;8.75;5.8
53;2636;115.1;8.58;5.6
54;2864;115.7;8.67;5.4
55;2556;117;9.5;5.4
56;2486;118.5;10.17;5.2
57;2337;118.4;10.83;5.1
58;2757;119.2;11.33;5.2
59;2631;119.2;10.5;5.2
60;2053;119.5;10.5;5.3
61;2310;121.2;10;5.2
62;2532;120.4;10;5.2
63;2358;120.4;10;5.5
64;2100;121.4;10;5.9
